"ranks","incomp","matched_group","total_dist","dec_dist","unit_dist","n"
"1_3_2_4",0,"dec_dist_1",13,1,3,10
"2_1_3_4",0,"dec_dist_1",13.2,1,3.2,10
"3_1_4_2",0,"dec_dist_1",13,1,3,10
"1_4_2_3",1,"dec_dist_1",7,1,3,10
"2_4_3_1",1,"dec_dist_1",7,1,3,10
"3_2_4_1",1,"dec_dist_1",7,1,3,10
"1_2_3_4",0,"matched_digit_order",31.5,2.875,2.75,16
"1_2_4_3",0,"matched_digit_order",47,4.5,2,16
"1_3_2_4",0,"matched_digit_order",29.625,2.75,2.125,16
"2_1_3_4",0,"matched_digit_order",19,1.5,4,16
"2_1_4_3",0,"matched_digit_order",32.5,3,2.5,16
"3_1_4_2",0,"matched_digit_order",30,2.75,2.5,16
"1_3_4_2",1,"matched_digit_order",42.75,4.5,2.25,16
"1_4_2_3",1,"matched_digit_order",25.375,2.75,2.125,16
"1_4_3_2",1,"matched_digit_order",29.75,3.25,2.75,16
"2_3_4_1",1,"matched_digit_order",29.5,3.25,3,16
"2_4_3_1",1,"matched_digit_order",12.625,1.625,3.625,16
"3_2_4_1",1,"matched_digit_order",30,3.25,2.5,16
"1.5_3_1.5_4",0,"within_dec",3.21428571428571,0,3.21428571428571,28
"2.5_1_2.5_4",0,"within_dec",3.28571428571429,0,3.28571428571429,28
"3.5_1_3.5_2",0,"within_dec",3.21428571428571,0,3.21428571428571,28
